2023-05-20 21:19:21,895 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:22:58,466 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:23:18,487 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:23:38,511 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:23:58,536 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:24:18,568 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:24:38,591 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:24:58,616 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:25:18,638 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:25:38,659 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:25:58,681 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:26:18,713 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:26:38,735 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:26:58,757 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:27:18,781 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:27:38,803 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:27:58,826 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:28:18,848 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:28:38,877 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:28:58,897 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:29:18,923 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:29:38,949 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:29:38,954 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:29:59,035 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:30:19,060 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:30:39,081 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:30:59,104 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:31:19,126 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:31:39,148 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:31:59,169 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:32:19,190 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:32:39,211 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:32:42,212 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:32:42,213 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:32:45,908 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:32:46,019 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:32:46,022 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:32:46,084 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 409 143
2023-05-20 21:32:52,020 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:32:52,020 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:32:54,316 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:32:54,395 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:32:54,399 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:33:14,364 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:33:14,369 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:33:14,490 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++Zeigt+dir+alle+Einstellungen.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=442 HTTP/1.1" 200 815
2023-05-20 21:33:34,400 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447847&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:33:54,439 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447847&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:34:03,440 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:34:03,440 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:34:05,923 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:06,013 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:34:06,017 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:07,206 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:34:07,212 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:07,337 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp+++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=444 HTTP/1.1" 200 810
2023-05-20 21:34:19,209 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:34:19,209 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:34:34,505 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:34,580 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:34:34,583 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:34,644 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 678
2023-05-20 21:34:34,651 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:34,652 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:34,770 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=446 HTTP/1.1" 200 811
2023-05-20 21:34:34,809 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=447 HTTP/1.1" 200 811
2023-05-20 21:34:52,648 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:34:52,648 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:34:54,355 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:54,419 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:34:54,424 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:56,553 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:34:56,559 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:34:56,775 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=450 HTTP/1.1" 200 813
2023-05-20 21:35:16,581 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447851&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:35:36,602 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447851&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:35:56,623 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447851&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:36:16,644 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447851&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:36:34,646 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:36:34,646 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:36:47,725 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:36:47,806 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:36:47,809 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:36:47,874 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:36:47,880 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:36:47,992 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0ATipp%3A+Wenn+du+kurz+auf+den+Befehl+deiner+Wahl+klickst%2C+wird+er+in+dein+Textfeld+kopiert.+%3B%29%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=452 HTTP/1.1" 200 908
2023-05-20 21:37:07,915 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447852&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:37:27,940 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447852&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:37:39,942 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:37:39,942 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:37:41,362 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:37:41,440 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:37:41,443 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:37:43,168 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:37:43,174 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:37:43,284 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0A%2Fhelp++++++++++Zeigt+dir+alle+Befehle.%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A%0ATipp%3A+Wenn+du+kurz+auf+den+Befehl+deiner+Wahl+klickst%2C+wird+er+in+dein+Textfeld+kopiert.%0A&reply_to_message_id=454 HTTP/1.1" 200 905
2023-05-20 21:38:03,200 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447853&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:38:23,225 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447853&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:38:41,229 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:38:41,229 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:38:42,130 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:38:42,208 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:38:42,212 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:38:43,648 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:38:43,654 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:38:43,817 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Befehle%3A%0A%0ASteuerungsbbefehle%3A%0A%2Fhelp++++++++++Zeigt+dir+alle+Befehle.%0A%0ABefehle+des+KI+Assistenten%3A%0A%2Fwikipedia+Suche+etwas+auf+Wikipedia.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A%0ATipp%3A+Wenn+du+kurz+auf+den+Befehl+deiner+Wahl+klickst%2C+wird+er+in+dein+Textfeld+kopiert.%0A&reply_to_message_id=456 HTTP/1.1" 200 958
2023-05-20 21:39:03,674 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447854&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:39:12,675 | TeleBot | ERROR | Infinity polling: polling exited
2023-05-20 21:39:12,675 | TeleBot | ERROR | Break infinity polling
2023-05-20 21:39:20,525 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:39:20,607 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:39:20,610 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:39:23,117 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 350
2023-05-20 21:39:23,123 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
